Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Unnamed: 14;Instituiï¿½ï¿½o financeira;ï¿½ndice;Quantidade de reclamaï¿½ï¿½es reguladas procedentes;Quantidade de reclamaï¿½ï¿½es reguladas - outras;Quantidade de reclamaï¿½ï¿½es nï¿½o reguladas;Quantidade total de reclamaï¿½ï¿½es;Quantidade total de clientes ï¿½ CCS e SCR;Quantidade de clientes ï¿½ CCS;Quantidade de clientes ï¿½ SCR
2021;3º;Demais bancos e financeiras;Banco/financeira;07747410;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;3.0;6.0;5.0;14.0;626141; ;626141;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;MASTER (conglomerado);2.055,01;223.0;77.0;17.0;317.0;108515;5657;103039;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;MERCADO CRÉDITO (conglomerado); ;0.0;0.0;1.0;1.0;47984; ;47984;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);122,14;467.0;228.0;106.0;801.0;3823232;3235072;1856560;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0.0;1.0;1.0;2.0;20203;341;19944;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;22.0;102.0;52.0;176.0;10572319;286354;10523154;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;MODAL (conglomerado); ;21.0;31.0;8.0;60.0;1304283;1304119;33167;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;0.0;1.0;0.0;1.0;434448;677;433771;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;5.0;29.0;0.0;34.0;99651;3135;96953;;;;;;;;;;
2021;3º;Top 10 - Bancos e Financeiras;Conglomerado; ;NUBANK (conglomerado);0,13;3.0;18.0;17.0;38.0;22267718;20581767;3601628;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;OMNI (conglomerado); ;17.0;60.0;67.0;144.0;5281196;165744;5129818;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;ORIGINAL (conglomerado);47,03;265.0;369.0;212.0;846.0;5634279;4365122;2051035;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado); ;5.0;4.0;2.0;11.0;3342281;3335727;7063;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;PARANÁ BANCO (conglomerado);193,45;94.0;412.0;20.0;526.0;485895;10034;476123;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;03311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;14.015,05;54.0;21.0;1.0;76.0;3853; ;3853;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Banco/financeira;43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12,79;87.0;59.0;22.0;168.0;6798337;6588214;2507474;;;;;;;;;;
2021;3º;Demais bancos e financeiras;Conglomerado; ;PINE (conglomerado); ;3.0;3.0;0.0;6.0;12869;10925;2618;;;;;;;;;;
